chào hỏi	hi
chào hỏi	hello
chào hỏi	xin chào
chào hỏi	bạn ơi
chào hỏi	ê
chào hỏi	ola
chào hỏi	hola
chào hỏi	alo
chào hỏi	a lô
chào hỏi	bạn hiền ơi
chào hỏi	ad ơi
chào hỏi	bạn gì ơi
chào hỏi	anh ơi
chào hỏi	em ơi
chào hỏi	chị ơi
chào hỏi	hỏi với
chào hỏi	hỏi cái
chào hỏi	cho hỏi
hỏi mặt hàng	ở đây bán những điện thoại nào
hỏi mặt hàng	có những mặt hàng nào
hỏi mặt hàng	bạn bán những sản phẩm nào
hỏi mặt hàng	cửa hàng bán những mặt hàng nào
hỏi mặt hàng	chỗ mình có những điện thoại nào
hỏi mặt hàng	mình có bán iphone không
hỏi mặt hàng	mình có samsung k
hỏi mặt hàng	chỗ mình có iphone không
hỏi mặt hàng	bạn bán samsung không
hỏi mặt hàng	chỗ mình bán iphone k
hỏi mặt hàng	mình bán iphone k
hỏi mặt hàng	chỗ mình có iphone k
check còn hàng	iphone chỗ mình còn hàng không
check còn hàng	samsung có hàng không
check còn hàng	có hàng ip x không 
check còn hàng	còn iphone 11 k
check còn hàng	ip 12 còn hàng không
check còn hàng	X còn không
check còn hàng	s20 có không
check còn hàng	samsung s10 còn k
check còn hàng	còn S20 không
check còn hàng	có S10 chưa
check còn hàng	có ip 20 chưa
check còn hàng	còn samgsung S10 không
check còn hàng	còn không
check còn hàng	còn hàng không
check còn hàng	có hàng không
check còn hàng	có không
hỏi giá	giá cả sao
hỏi giá	đắt không
hỏi giá	rẻ không
hỏi giá	đắt k
hỏi giá	rẻ k
hỏi giá	giá thế nào
hỏi giá	bao nhiêu tiền
hỏi giá	bán đắt không
hỏi giá	bán giá thế nào
hỏi giá	bán giá tn
hỏi giá	bán giá bao nhiêu
hỏi giá	bán giá bn
hỏi giá	bán bn
hỏi giá	bán bao nhiêu
hỏi giá	bn
hỏi giá	bn thế
hỏi giá	có giá thế nào nhỉ
hỏi giá	giá tn
hỏi giá	đang niêm yết giá bn nhỉ
hỏi giá	nhiều tiền không
hỏi giá	nhiều tiền k
hỏi giá	tốn kém k
hỏi giá	đắt tiền không
hỏi giá	tốn không
hỏi giá	tốn nhiều k
hỏi giá	giá cao không
hỏi giá	giá cả thế nào
so sánh	phân biệt ip x với ip 12 với
so sánh	so sánh 2 mẫu samsung s10 với ip 11
so sánh	s20 với s10 cái nào tốt hơn
so sánh	s10 với S20 cái nào ngon hơn
so sánh	cái nào ổn hơn
so sánh	cái nào tốt hơn nhỉ
so sánh	loại nào tốt hơn
so sánh	đt nào ngon hơn
so sánh	điện thoại nào ổn hơn
so sánh	so với ip x thì cái nào tốt hơn
so sánh	so với ip 12 thì thế nào
so sánh	cái này với S10 thì sao
so sánh	so với s20 thì ổn hơn k
so sánh	đt này ngon hơn s10 không
so sánh	điện thoại này có tốt hơn ip 11 k
so sánh	con này với ip x thì thế nào
so sánh chi tiết	cái nào camera tốt hơn
so sánh chi tiết	cái nào pin khỏe hơn
so sánh chi tiết	cái nào mượt hơn
so sánh chi tiết	cái nào nhanh hơn
so sánh chi tiết	loại nào nhanh hơn nhỉ
so sánh chi tiết	cái nào camera chụp đẹp hơn nhỉ
so sánh chi tiết	loại nào chụp ảnh đẹp hơn nhỉ
so sánh chi tiết	đt nào pin trâu hơn thế
so sánh chi tiết	điện thoại nào chạy nhanh hơn
so sánh chi tiết	điện thoại nào chạy mượt hơn
so sánh chi tiết	so với ip x thì cái nào chụp đẹp hơn
so sánh chi tiết	con này với samsung s20 thì còn nào nhanh hơn
so sánh chi tiết	đt này pin khỏe hơn s10 không
so sánh chi tiết	điện thoại này ảnh đẹp hơn s20 k
so sánh chi tiết	loại này với ip X loại nào pin ngon hơn
so sánh chi tiết	con này chụp ổn hơn ip x không
so sánh chi tiết	so với ip 11 thì nhanh hơn k
so sánh chi tiết	so với ip 12 thì ảnh đẹp hơn không
so sánh chi tiết	có nhanh hơn S10 không
so sánh chi tiết	có mượt hơn ip x không
so sánh chi tiết	có pin khỏe hơn s20 k
so sánh chi tiết	có chụp đẹp hơn s10 không
so sánh chi tiết	pin có dùng lâu hơn ip x không
so sánh chi tiết	cái nào pin dùng lâu hơn
so sánh chi tiết	so với  s20 thì pin có dùng lâu hơn k
hỏi chi tiết	có con nào pin trâu không
hỏi chi tiết	có loại nào pin khỏe k
hỏi chi tiết	có đt nào dùng được lâu không
hỏi chi tiết	có điện thoại nào dùng được lâu k
hỏi chi tiết	có cái nào nhanh không
hỏi chi tiết	có đt nào nhanh k
hỏi chi tiết	có con nào nhanh k
hỏi chi tiết	có loại nào nhanh k
hỏi chi tiết	có điện thoại nào nhanh không
hỏi chi tiết	có cái nào mượt không
hỏi chi tiết	có đt nào mượt k
hỏi chi tiết	có con nào mượt k
hỏi chi tiết	có loại nào mượt k
hỏi chi tiết	có điện thoại nào mượt không
hỏi chi tiết	có điện thoại nào chụp đẹp không
hỏi chi tiết	có đt nào ảnh đẹp không
hỏi chi tiết	có con nào chụp ngon không
hỏi chi tiết	có loại nào chụp ảnh đẹp không
hỏi chi tiết	có cái nào chụp đẹp không
đặt mua	bán cho cái đt
đặt mua	cho mua cái điện thoại
đặt mua	bán cho mình
đặt mua	cho mình mua với
đặt mua	cho tôi mua cái
đặt mua	bán cho cái đt
đặt mua	cho mua
đặt mua	bán mình
đặt mua	cho mua cái đt
đặt mua	bán mình cái đt
đặt mua	cho mua với
đặt mua	bán mình với
